time,open,high,low,close,tick_volume,spread,real_volume
2025-06-06 05:30:00,3363.82,3364.87,3362.33,3363.92,924,17,0
2025-06-06 05:45:00,3363.93,3366.48,3362.74,3363.95,1033,17,0
2025-06-06 06:00:00,3363.93,3364.0,3359.47,3361.4,1002,16,0
2025-06-06 06:15:00,3361.47,3367.19,3361.4,3366.68,951,16,0
2025-06-06 06:30:00,3366.72,3370.63,3366.64,3370.18,868,16,0
2025-06-06 06:45:00,3370.21,3371.83,3369.12,3369.72,819,17,0
2025-06-06 07:00:00,3369.66,3372.1,3369.11,3370.58,841,17,0
2025-06-06 07:15:00,3370.58,3373.59,3370.37,3372.12,784,6,0
2025-06-06 07:30:00,3372.02,3373.4,3370.76,3372.1,714,17,0
2025-06-06 07:45:00,3372.09,3374.46,3371.53,3373.71,775,16,0
2025-06-06 08:00:00,3373.65,3375.6,3373.25,3373.96,862,16,0
2025-06-06 08:15:00,3373.92,3373.92,3368.31,3369.4,975,15,0
2025-06-06 08:30:00,3369.17,3369.54,3365.24,3366.22,1090,16,0
2025-06-06 08:45:00,3366.19,3366.87,3362.23,3366.03,1148,15,0
2025-06-06 09:00:00,3365.99,3366.86,3361.64,3362.88,1115,13,0
2025-06-06 09:15:00,3362.9,3366.95,3361.93,3364.82,1174,17,0
2025-06-06 09:30:00,3364.74,3365.23,3358.4,3358.4,1251,5,0
2025-06-06 09:45:00,3358.31,3361.25,3356.12,3360.76,1180,5,0
2025-06-06 10:00:00,3360.74,3362.14,3356.81,3361.36,1153,6,0
2025-06-06 10:15:00,3361.36,3362.34,3358.75,3360.49,1075,5,0
2025-06-06 10:30:00,3360.48,3360.62,3357.36,3358.98,975,17,0
2025-06-06 10:45:00,3358.96,3359.73,3352.84,3359.47,1144,5,0
2025-06-06 11:00:00,3359.51,3362.2,3358.54,3358.65,1145,10,0
2025-06-06 11:15:00,3358.6,3364.92,3358.45,3363.95,1037,5,0
2025-06-06 11:30:00,3364.21,3367.63,3363.04,3367.11,987,14,0
2025-06-06 11:45:00,3367.1,3367.68,3365.1,3365.31,985,17,0
2025-06-06 12:00:00,3365.42,3365.42,3359.39,3360.56,1017,5,0
2025-06-06 12:15:00,3360.6,3360.71,3355.47,3355.68,963,15,0
2025-06-06 12:30:00,3355.81,3359.3,3355.47,3357.25,970,7,0
2025-06-06 12:45:00,3357.25,3357.49,3352.85,3356.71,1012,11,0
2025-06-06 13:00:00,3356.83,3360.3,3356.71,3357.89,974,6,0
2025-06-06 13:15:00,3357.89,3358.73,3355.84,3356.66,909,17,0
2025-06-06 13:30:00,3356.67,3358.63,3356.61,3357.58,829,17,0
2025-06-06 13:45:00,3357.55,3360.83,3357.08,3360.58,867,5,0
2025-06-06 14:00:00,3360.7,3364.13,3360.68,3361.74,1029,7,0
2025-06-06 14:15:00,3361.75,3362.64,3360.35,3360.91,942,17,0
2025-06-06 14:30:00,3360.91,3364.22,3360.13,3362.74,989,15,0
2025-06-06 14:45:00,3362.87,3362.94,3358.18,3358.35,1019,17,0
2025-06-06 15:00:00,3358.37,3360.32,3355.84,3356.54,983,17,0
2025-06-06 15:15:00,3356.53,3359.51,3353.97,3358.86,1099,5,0
2025-06-06 15:30:00,3358.7,3364.17,3343.51,3353.14,1668,11,0
2025-06-06 15:45:00,3353.49,3359.45,3351.77,3353.48,1497,5,0
2025-06-06 16:00:00,3353.39,3358.43,3346.81,3355.94,1465,17,0
2025-06-06 16:15:00,3355.91,3360.93,3348.86,3353.78,1448,5,0
2025-06-06 16:30:00,3354.1,3355.36,3345.52,3346.83,1555,17,0
2025-06-06 16:45:00,3346.81,3352.07,3342.53,3343.21,1488,15,0
2025-06-06 17:00:00,3342.47,3344.85,3333.74,3333.99,1571,5,0
2025-06-06 17:15:00,3333.94,3335.55,3316.79,3324.17,1589,5,0
2025-06-06 17:30:00,3324.26,3334.2,3322.64,3333.72,1446,12,0
2025-06-06 17:45:00,3333.8,3333.8,3322.44,3326.15,1427,5,0
2025-06-06 18:00:00,3325.88,3329.8,3323.45,3324.07,1375,17,0
2025-06-06 18:15:00,3323.93,3331.65,3323.78,3330.84,1375,15,0
2025-06-06 18:30:00,3330.87,3336.74,3328.65,3333.85,1262,5,0
2025-06-06 18:45:00,3333.9,3334.92,3331.7,3332.22,1123,17,0
2025-06-06 19:00:00,3332.22,3332.69,3329.14,3329.38,1080,10,0
2025-06-06 19:15:00,3329.36,3331.97,3323.97,3323.98,1151,17,0
2025-06-06 19:30:00,3324.02,3325.68,3321.48,3324.88,1176,13,0
2025-06-06 19:45:00,3324.86,3325.76,3320.99,3322.76,1099,7,0
