time,open,high,low,close,volume,spread,real_volume
2025-10-29 09:20:00,3996.67,3997.75,3993.51,3996.23,407,16,0
2025-10-29 09:25:00,3996.21,3998.53,3995.17,3996.25,410,9,0
2025-10-29 09:30:00,3996.93,3997.61,3991.85,3993.29,454,5,0
2025-10-29 09:35:00,3993.25,3994.53,3989.93,3991.03,428,16,0
2025-10-29 09:40:00,3991.14,3997.21,3990.13,3995.28,422,12,0
2025-10-29 09:45:00,3995.04,3996.14,3991.41,3996.13,384,8,0
2025-10-29 09:50:00,3996.26,3998.07,3994.77,3997.87,399,5,0
2025-10-29 09:55:00,3998.01,4001.6,3996.96,4001.5,432,17,0
2025-10-29 10:00:00,4001.66,4007.46,4000.57,4006.44,487,12,0
2025-10-29 10:05:00,4006.42,4009.74,4005.32,4009.74,465,5,0
2025-10-29 10:10:00,4009.83,4009.93,4005.55,4007.19,462,11,0
2025-10-29 10:15:00,4007.16,4008.58,4003.72,4008.54,438,5,0
2025-10-29 10:20:00,4008.66,4010.69,4005.42,4009.82,454,5,0
2025-10-29 10:25:00,4009.9,4011.31,4008.71,4009.71,428,8,0
2025-10-29 10:30:00,4010.34,4013.76,4009.48,4011.47,427,16,0
2025-10-29 10:35:00,4011.44,4012.07,4007.08,4007.52,448,6,0
2025-10-29 10:40:00,4007.6,4012.55,4007.54,4010.88,420,7,0
2025-10-29 10:45:00,4010.87,4015.19,4010.43,4010.79,452,16,0
2025-10-29 10:50:00,4010.78,4015.77,4009.62,4015.5,426,10,0
2025-10-29 10:55:00,4015.47,4018.16,4015.21,4016.9,428,5,0
2025-10-29 11:00:00,4016.42,4019.86,4015.88,4017.65,448,16,0
2025-10-29 11:05:00,4017.53,4022.03,4016.03,4019.72,437,17,0
2025-10-29 11:10:00,4019.77,4020.55,4014.95,4016.45,444,11,0
2025-10-29 11:15:00,4016.48,4019.87,4013.42,4018.0,436,5,0
2025-10-29 11:20:00,4017.98,4019.93,4017.51,4018.34,407,16,0
2025-10-29 11:25:00,4018.39,4018.97,4015.85,4017.14,401,5,0
2025-10-29 11:30:00,4017.12,4020.53,4015.67,4019.73,436,5,0
2025-10-29 11:35:00,4019.68,4020.27,4016.29,4017.47,397,18,0
2025-10-29 11:40:00,4017.46,4019.46,4016.28,4019.25,422,18,0
2025-10-29 11:45:00,4019.46,4028.06,4019.3,4027.43,472,7,0
2025-10-29 11:50:00,4027.5,4029.32,4026.48,4027.66,447,7,0
2025-10-29 11:55:00,4027.67,4029.5,4022.56,4024.01,459,9,0
2025-10-29 12:00:00,4024.18,4026.09,4020.78,4022.23,453,16,0
2025-10-29 12:05:00,4022.39,4024.41,4017.46,4022.76,469,9,0
2025-10-29 12:10:00,4022.76,4024.77,4020.34,4022.51,434,6,0
2025-10-29 12:15:00,4022.48,4028.49,4021.44,4027.19,428,6,0
2025-10-29 12:20:00,4027.18,4029.61,4026.89,4028.01,441,10,0
2025-10-29 12:25:00,4028.0,4028.01,4024.52,4024.57,402,16,0
2025-10-29 12:30:00,4024.46,4026.2,4022.52,4025.4,412,16,0
2025-10-29 12:35:00,4025.18,4027.81,4020.98,4027.26,440,16,0
2025-10-29 12:40:00,4027.33,4028.71,4023.86,4026.02,426,15,0
2025-10-29 12:45:00,4026.05,4029.72,4025.89,4026.59,416,9,0
2025-10-29 12:50:00,4026.58,4026.58,4023.87,4025.26,370,8,0
2025-10-29 12:55:00,4025.32,4026.03,4022.56,4023.35,401,16,0
2025-10-29 13:00:00,4023.44,4027.53,4022.96,4026.59,405,16,0
2025-10-29 13:05:00,4026.61,4027.33,4025.43,4026.44,367,5,0
2025-10-29 13:10:00,4026.45,4028.72,4022.08,4022.29,414,8,0
